"Zone_Name","Continent","Area","Zone","Subzone","Type","Size","Controlled","Min_req_level","Min_rec_level","Max_rec_level","Min_bot_level","Max_bot_level"
"ZoneidId(Serpentshrine Cavern)","Outland","Outland","Zangarmarsh","Coilfang Reservoir","Dungeon","25","Contested","70","70","80","70","80"
"ZoneidId(Tempest Keep)","Outland","Outland","Netherstorm","The eye","Dungeon","25","Contested","70","70","80","70","80"
"ZoneidId(The Underbog)","Outland","Outland","Zangarmarsh","Coilfang Reservoir","Dungeon","5","Contested","60","61","70","62","72"
"ZoneidId(The Mechanar)","Outland","Outland","Netherstorm","Tempest Keep","Dungeon","5","Contested","65","67","75","69","72"
"ZoneidId(Black Temple)","Outland","Outland","Shadowmoon Valley","","Dungeon","25","Contested","70","70","80","70","80"
"ZoneidId(Magisters' Terrace)","Eastern Kingdoms","Quel'Thalas","Isle of Quel'Danas","","Dungeon","5","Contested","65","68","75","68","72"
"ZoneidId(Isle of Quel'Danas)","Eastern Kingdoms","Quel'Thalas","Isle of Quel'Danas","","Zone","0","Contested","1","70","0","70","0"
"ZoneidId(Sunwell Plateau)","Eastern Kingdoms","Quel'Thalas","Isle of Quel'Danas","","Dungeon","25","Contested","70","70","80","70","80"
"ZoneidId(The North Sea)","Eastern Kingdoms","Quel'Thalas","","","Sea","0","Contested","1","1","100","1","100"
"ZoneidId(The Ring of Valor)","Kalimdor","Central Kalimdor","Orgrimmar","Orgrimmar Arena","Arena","0","PvP","1","10","90","10","90"
"ZoneidId(Dalaran<U+7AF6><U+6280><U+5834>)","Northrend","Northrend","Dalaran","","Arena","0","PvP","1","10","90","10","90"
"ZoneidId(Plaguelands: The Scarlet Enclave)","Eastern Kingdoms","Lordaeron","Eastern Plaguelands","","Zone","0","Contested","1","55","58","55","58"
"ZoneidId(Borean Tundra)","Northrend","Northrend","Borean Tundra","","Zone","0","Contested","1","68","72","68","72"
"ZoneidId(Dragonblight)","Northrend","Northrend","Dragonblight","","Zone","0","Contested","1","71","80","71","75"
"ZoneidId(Howling Fjord)","Northrend","Northrend","Howling Fjord","","Zone","0","Contested","1","68","72","68","72"
"ZoneidId(The Nexus)","Northrend","Northrend","Borean Tundra","Coldarra","Dungeon","5","Contested","68","71","73","71","73"
"ZoneidId(Grizzly Hills)","Northrend","Northrend","Grizzly Hills","","Zone","0","Contested","1","73","75","73","75"
"ZoneidId(Sholazar Basin)","Northrend","Northrend","Sholazar Basin","","Zone","0","Contested","1","76","80","75","78"
"ZoneidId(Crystalsong Forest)","Northrend","Northrend","Crystalsong Forest","","Zone","0","Contested","1","77","80","77","80"
"ZoneidId(The Frozen Sea)","Northrend","Northrend","The Frozen Sea","","Sea","0","Contested","1","1","100","1","100"
"ZoneidId(Utgarde Keep)","Northrend","Northrend","Utgarde Keep","","Dungeon","5","Contested","67","67","68","70","72"
"ZoneidId(Azjol-Nerub)","Northrend","Northrend","Dragonblight","","Dungeon","5","Contested","69","72","74","72","74"
"ZoneidId(The Storm Peaks)","Northrend","Northrend","The Storm Peaks","","Zone","0","Contested","1","77","80","77","80"
"ZoneidId(Icecrown)","Northrend","Northrend","Icecrown","","Zone","0","Contested","1","77","80","77","80"
"ZoneidId(Dalaran)","Northrend","Northrend","Dalaran","","Zone","0","Sanctuary","1","1","100","1","100"
"ZoneidId(Ahn'kahet: The Old Kingdom)","Northrend","Northrend","Dragonblight","Pit of Narjun","Dungeon","5","Contested","70","73","75","73","75"
"ZoneidId(Zul'Drak)","Northrend","Northrend","Zul'Drak","","Zone","0","Contested","1","74","76","74","76"
"ZoneidId(The Violet Hold)","Northrend","Northrend","Broken Isles","Dalaran","Dungeon","5","Contested","72","75","77","75","77"
"ZoneidId(Wintergrasp)","Northrend","Northrend","Wintergrasp","","Zone","0","Contested","1","77","80","77","80"
"ZoneidId(Strand of the Ancients)","Northrend","Northrend","Dragonblight","","Battleground","15","PvP","65","65","89","65","89"
"ZoneidId(Drak'Tharon Keep)","Northrend","Northrend","Grizzly Hills","","Dungeon","5","Contested","71","74","76","74","76"
"ZoneidId(Gundrak)","Northrend","Northrend","Zul'Drak","","Dungeon","5","Contested","73","76","78","76","78"
"ZoneidId(The Culling of Stratholme)","Kalimdor","Southern Kalimdor","Tanaris","Caverns of Time","Dungeon","5","Contested","75","80","80","80","80"
"ZoneidId(The Oculus)","Northrend","Northrend","Borean Tundra","Coldarra","Dungeon","5","Contested","75","80","80","80","80"
"ZoneidId(Halls of Lightning)","Northrend","Northrend","Storm Peaks","Ulduar","Dungeon","5","Contested","75","80","80","80","80"
"ZoneidId(Halls of Stone)","Northrend","Northrend","Storm Peaks","Ulduar","Dungeon","5","Contested","74","77","79","77","79"
"ZoneidId(Utgarde Pinnacle)","Northrend","Northrend","Utgarde Keep","","Dungeon","5","Contested","75","80","80","80","80"
"ZoneidId(Vault of Archavon)","Northrend","Northrend","Wintergrasp","Wintergrasp Fortress","Dungeon","25","Contested","80","80","80","80","80"
"ZoneidId(The Eye of Eternity)","Northrend","Northrend","Borean Tundra","Coldarra","Dungeon","25","Contested","80","80","80","80","80"
"ZoneidId(The Obsidian Sanctum)","Northrend","Northrend","Dragonblight","Chamber of Aspects","Dungeon","25","Contested","80","80","80","80","80"
"ZoneidId(<U+9F8D><U+9AA8><U+8352><U+91CE>)","Northrend","Northrend","Dragonblight","Dragonblight","Zone","0","Contested","1","72","75","72","75"
"ZoneidId(<U+5317><U+65B9><U+6D77><U+5CB8>)","Eastern Kingdoms","Lordaeron","Tirisfal Glades","North Coast","Zone","0","Contested","1","1","100","1","100"
